QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
387,In which layer of its architecture does Snowflake store its metadata statistics?,C,Compute Layer,Database Layer,Cloud Services Layer,Storage Layer,,,,https://hevodata.com/blog/snowflake-architecture-cloud-data-warehouse/,,Snowflake AI Data Cloud Features and Architecture
388,Who can access a referenced file through a scoped URL?,D,Any role specified in the GET REST API call with sufficient privileges,Only the ACCOUNTADMIN,Any user specified in the GET REST API call with sufficient privileges,Only the user who generates the URL,,,Only the user who generated the scoped URL can use the URL to access the referenced file.,https://docs.snowflake.com/en/user-guide/data-load-unstructured-rest-api,,"Data Transformations, Data Loading and Unloading"
389,What is the Snowflake multi-clustering feature for virtual warehouses used for?,C,To improve the data unloading process to the cloud,To speed up slow or stalled queries,To improve concurrency for users and queries,To improve data loading from very large data sets,,,"Multi-cluster warehouses enable you to scale compute resources to manage your user and query concurrency needs as they change, such as during peak and off hours.",https://docs.snowflake.com/en/user-guide/warehouses-multicluster,,Performance Concepts
390,What object will you use to schedule a merge statement in Snowflake so that it runs every hour?,B,Pipe.,Task.,Stream.,Table.,,,"Snowflake tasks are schedulable scripts that are run inside your Snowflake environment. No event source can trigger a task; instead, a task runs on a schedule. In this case, it will run every hour.",https://docs.snowflake.com/en/user-guide/tasks-intro,,Performance Concepts
391,Which Snowflake feature can be used to find sensitive data in a table or column?,B,Masking policies,Data classification,External functions,Row level policies,,,Data Classification allows categorizing potentially personal and/or sensitive data to support compliance and privacy regulations.,https://docs.snowflake.com/en/guides-overview-govern,,Data Protection and Data Sharing
392,A medium (M) warehouse has auto-suspend configured after 15 minutes. You have noticed that all of the queries that run on this warehouse finish within a minute. What will you do to optimize compute costs?,B,Delete the warehouse after a minute.,Reduce the auto-suspend time to 1 minute.,Use another data-warehouse.,Disable the auto-suspend option.,,,"By reducing the minutes of the ""auto-suspend"" option, the warehouse will automatically go to sleep after 60 seconds of inactivity, significantly reducing credit consumption.",https://docs.snowflake.com/en/user-guide/warehouses-considerations#automating-warehouse-suspension,,Performance Concepts
393,Which statement accurately describes how a virtual warehouse functions?,C,Each virtual warehouse is an independent compute cluster that shares compute resources with other warehouses.,All virtual warehouses share the same compute resources so performance degradation of one warehouse can significantly affect all the other warehouses.,Each virtual warehouse is a compute cluster composed of multiple compute nodes allocated by Snowflake from a cloud provider.,Increasing the size of a virtual warehouse will always improve data loading performance.,,,Query execution is performed in the processing layer. Snowflake processes queries using “virtual warehouses”. Each virtual warehouse is an MPP compute cluster composed of multiple compute nodes allocated by Snowflake from a cloud provider.,https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
394,Which of the following sizes is not a Warehouse Size?,A,XXS,XS,S,M,,,"The minimum configuration for a Snowflake Warehouse is X-Small (XS), which consumes one credit/hour.",https://docs.snowflake.com/en/user-guide/warehouses-overview#warehouse-size,,Performance Concepts
395,The three main Snowflake layers are…,D,"Database, Virtual Warehouse, Metadata.","Extraction, Load, Transformation.","Staging, Data Warehouse, Dimensional.","Centralized Storage, Compute & Cloud Services.",,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
396,Which functions can be used to share unstructured data through a secure view? (Choose two.),"A,D",GET_PRESIGNED_URL,GET_RELATIVE_PATH,BUILD_STAGE_FILE_URL,BUILD_SCOPED_FILE_URL,GET_ABSOLUTE_PATH,,,https://docs.snowflake.com/en/user-guide/unstructured-data-sharing,,"Data Protection and Data Sharing, Data Loading and Unloading"
397,Which objects together comprise a namespace in Snowflake? (Choose two.),"C,D",Which objects together comprise a namespace in Snowflake? (Choose two.),Table,Schema,Database,Account,Virtual warehouse,,https://docs.snowflake.com/en/sql-reference/ddl-database,,Data Transformations
398,What actions can the resource monitor associated with a Warehouse take when it reaches (or is about to) hit the limit? (Choose three.),"B,D,F",Execute DROP WAREHOUSE statement.,Kill the query that is running.,Delete the Snowflake account.,Send a notification alert.,Open a Snowflake support case,Suspend the Warehouse.,"A resource monitor can Notify, Notify & Suspend, and Notify & Suspend Immediately. You can see these three actions in the following image:",https://docs.snowflake.com/en/user-guide/resource-monitors#actions,,Performance Concepts
399,Which property needs to be added to the ALTER WAREHOUSE command to verify the additional compute resources for a virtual warehouse have been fully provisioned?,D,SCALING_POLICY,QUERY_ACCELERATION_MAX_SCALE_FACTOR,RESOURCE_MONITOR,WAIT_FOR_COMPLETION,,,,https://docs.snowflake.com/en/user-guide/warehouses-tasks,,Performance Concepts
400,What is the lowest Snowflake edition that offers Time Travel up to 90 days?,D,Business Critical Edition,Standard Edition,Premier Edition,Enterprise Edition,,,,https://docs.snowflake.com/en/user-guide/data-availability,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
401,Which of the following commands are valid options for the VALIDATION_MODE parameter within the Snowflake COPY_INTO command? (Choose two.),"D,E",TRUE,RETURN_FIRST_n_ERRORS,RETURN_ERROR_SUM,RETURN_n_ROWS,RETURN_ALL_ERRORS,,VALIDATION_MODE = RETURN_n_ROWS | RETURN_ERRORS | RETURN_ALL_ERRORS,https://docs.snowflake.com/en/sql-reference/sql/copy-into-table,,Data Transformations
402,What storage cost is completely eliminated when a Snowflake table is defined as transient?,D,Time Travel,Active,Staged,Fail-safe,,,"Similar to permanent tables, transient tables contribute to the overall storage charges that Snowflake bills your account; however, because transient tables do not utilize Fail-safe, there are no Fail-safe costs (i.e. the costs associated with maintaining the data required for Fail-safe disaster recovery).",https://docs.snowflake.com/en/user-guide/tables-temp-transient,,Performance Concepts
403,"What Snowflake feature provides a data hub for secure data collaboration, with a selected group of invited members?",D,Snowflake Marketplace,Data Replication,Secure Data Sharing,Data Exchange,,,Data Exchange provides a data hub for securely collaborating around data with a selected group of members that you invite.,https://docs.snowflake.com/en/user-guide/data-exchange,,Data Protection and Data Sharing
404,Which data types can be used in a Snowflake table that holds semi-structured data? (Choose two.),"D,E",BINARY,TEXT,VARCHAR,VARIANT,ARRAY,,,https://docs.snowflake.com/en/user-guide/semistructured-intro,,Data Loading and Unloading
405,What is the minimum Snowflake edition that provides multi-cluster warehouses?,D,Premier,Business Critical Edition,Standard,Enterprise,,,,https://docs.snowflake.com/en/user-guide/intro-editions,,Snowflake AI Data Cloud Features and Architecture
406,How many shares can be consumed by a single Data Consumer?,D,"100, but can be increased by contacting support",1,10,Unlimited,,,,https://docs.snowflake.com/en/user-guide/data-sharing-intro,,Data Protection and Data Sharing
407,What information does the Query Profile provide?,D,Real-time monitoring of the database operations,Graphical representation of the data model,Detailed information about the database schema,Statistics for each component of the processing plan,,,"Query Profile provides execution details for a query. For the selected query, it provides a graphical representation of the main components of the processing plan for the query, with statistics for each component, along with details and statistics for the overall query.",https://docs.snowflake.com/en/user-guide/ui-query-profile,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
408,What does the average_overlaps in the output of SYSTEM$CLUSTERING_INFORMATION refer to?,D,The average number of micro-partitions in the table associated with cloned objects.,The average number of micro-partitions stored in Time Travel.,The average number of partitions physically stored in the same location.,The average number of micro-partitions which contain overlapping value ranges.,,,,https://docs.snowflake.com/en/sql-reference/functions/system_clustering_information,,Data Transformations
409,How many predecessor tasks can a child task have?,D,All the parents that we establish.,1,1000,100,,,"A child task USED TO HAVE only a predecessor task. As a new feature of September 2022, Snowflake also supports DAG of tasks. In a DAG, each non-root task can have dependencies on multiple predecessor tasks, increasing the previous limit to 100 predecessors.",https://docs.snowflake.com/en/user-guide/tasks-graphs,,Performance Concepts
410,Which of the following are not types of streams in Snowflake? (Choose two.),"A,D",Update-only.,Append-only.,Insert-only.,Merge-only.,Standard.,,"Standard and Append-only streams are supported on tables, directory tables, and views. The Standard one tracks all DML changes to the source table, including inserts, updates, and deletes, whereas the Append-only one Tracks row inserts only. The Insert-only stream also tracks row inserts only. The difference with the previous one is that this one is only supported on EXTERNAL TABLES.",https://docs.snowflake.com/en/user-guide/streams-intro#types-of-streams,,Data Loading and Unloading
411,How is enhanced authentication achieved in Snowflake? (Choose two.),"A,D",Multi-Factor Authentication (MFA),Snowflake-managed keys,Masking policies,Federated authentication and Single Sign-On (SSO),Object level access control,,Object level access control,https://docs.snowflake.com/guides-overview-secure,,"Data Protection and Data Sharing, Account Access and Security"
412,"When unloading the data for file format type specified (TYPE = 'CSV'), SQL NULL can be converted to string ‘null’ using which file format option?",D,ESCAPE_UNENCLOSED_FIELD,SKIP_BYTE_ORDER_MARK,EMPTY_FIELD_AS_NULL,NULL_IF,,,"NULL_IF = ( 'string1' [ , 'string2' .. ] )\n

When unloading data from tables: Snowflake converts SQL NULL values to the first value in the list. Be careful to specify a value that you want interpreted as NULL. For example, if you are unloading data to a file that will get read by another system, make sure to specify a value that will be interpreted as NULL by that system.",https://docs.snowflake.com/en/user-guide/data-unload-considerations#empty-strings-and-null-values,,Data Loading and Unloading
413,Which Snowflake data types can be used to build nested hierarchical data? (Choose two),"C,D",INTEGER,VARCHAR,OBJECT,VARIANT,LIST,,"You can use Snowflake data types to construct a hierarchy to hold your semi-structured data by using the following properties of data types:\n
-A VARIANT can hold a value of any other data type, including an ARRAY or an OBJECT.\n
-An ARRAY or OBJECT holds a value of type VARIANT.",https://docs.snowflake.com/en/user-guide/semistructured-intro,,Data Loading and Unloading
414,Which of the following services are NOT provided by the Cloud Services Layer? (Choose two.),"B,D",Metadata Management.,Storage.,Authentication.,Query Execution.,Infrastructure Management.,,"The Cloud Services layer is a collection of services coordinating activities across Snowflake. It's in charge of Authentication, Infrastructure management, Metadata management, Query parsing and optimization, and Access control.",https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture,,Snowflake AI Data Cloud Features and Architecture
415,Which of these features is NOT supported by Snowflake?,D,Manage roles.,Manage users.,Monitor usage and cost.,Manage the data that 3rd party applications upload to the marketplace.,,,"You can provide and consume listings offered privately or publicly using the Snowflake Marketplace, discovering and accessing a variety of third-party datasets. Becoming a provider of listings in Snowflake makes it easier to manage sharing from your account to other Snowflake accounts.",https://docs.snowflake.com/en/guides-overview-sharing,,Data Protection and Data Sharing
416,When should a multi-cluster virtual warehouse be used in Snowflake?,D,When there is significant disk spilling shown on the Query Profile,When dynamic vertical scaling is being used in the warehouse,When there are no concurrent queries running on the warehouse,When queuing is delaying query execution on the warehouse,,,,https://docs.snowflake.com/en/user-guide/warehouses-multicluster#what-is-a-multi-cluster-warehouse,,Performance Concepts
417,"If you want a multi-cluster warehouse, which is the lowest Snowflake edition that you should opt for?",D,Virtual Private Snowflake.,Business Critical.,Standard.,Enterprise.,,,,https://docs.snowflake.com/en/user-guide/intro-editions#compute-resource-management,,Snowflake AI Data Cloud Features and Architecture
418,What parameter controls if the Virtual Warehouse starts immediately after the CREATE WAREHOUSE statement?,D,START_TIME = CURRENT_DATE(),START_AFTER_CREATE = TRUE/FALSE,START_THE = 60 // (seconds from now),INITIALLY_SUSPENDED = TRUE/FALSE,,,"Syntax:\n
CREATE [ OR REPLACE ] WAREHOUSE [ IF NOT EXISTS ] <name>\n
[ [ WITH ] objectProperties ]\n
[ objectParams ]\n
Where:\n
objectProperties ::=\n
WAREHOUSE_SIZE = XSMALL | SMALL | MEDIUM | LARGE | XLARGE | XXLARGE | XXXLARGE | X4LARGE | X5LARGE | X6LARGE\n
MAX_CLUSTER_COUNT = <num>\n
MIN_CLUSTER_COUNT = <num>\n
SCALING_POLICY = STANDARD | ECONOMY\n
AUTO_SUSPEND = <num> | NULL\n
AUTO_RESUME = TRUE | FALSE\n
INITIALLY_SUSPENDED = TRUE | FALSE\n
RESOURCE_MONITOR = <monitor_name>\n
COMMENT = '<string_literal>'\n
ENABLE_QUERY_ACCELERATION = TRUE | FALSE\n
QUERY_ACCELERATION_MAX_SCALE_FACTOR = <num>",https://docs.snowflake.com/en/sql-reference/sql/create-warehouse#optional-properties-objectproperties,,Data Transformations
419,Which query contains a Snowflake hosted file URL in a directory table for a stage named bronzestage?,D,select * from table(information_schema.stage_directory_file_registration_history( stage_name=>'bronzestage'));,select metadata$filename from @bronzestage;,list @bronzestage;,select * from directory(@bronzestage);,,,Following parameter: FILE_URL -Snowflake-hosted file URL to the file.,https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage,,Data Loading and Unloading
420,"When floating-point number columns are unloaded to CSV or JSON files, Snowflake truncates the values to approximately what?",D,"(14,8)","(12,2)","(10,4)","(15,9)",,,,https://docs.snowflake.com/en/user-guide/data-unload-considerations,,Data Loading and Unloading
421,Which of the following statements are true of VALIDATION_MODE in Snowflake? (Choose two.),"B,D",The VALIDATION_MODE parameter supports COPY statements that transform data during a load,The VALIDATION_MODE option will validate data to be loaded by the COPY statement without completing the load and will return possible errors,The VALIDATION_MODE option will validate data to be loaded by the COPY statement while completing the load and will return the rows that could not be loaded without error,VALIDATION_MODE=RETURN_ALL_ERRORS is a parameter of the COPY command,The VALIDATION_MODE parameter supports COPY statements that load data from external stages only,,,https://docs.snowflake.com/en/user-guide/data-load-bulk-ts,,Data Loading and Unloading
422,Which property helps us control the credits consumed by a multi-cluster warehouse?,D,Maximum Clusters (MAX_CLUSTERS),Maximum Credits (MAX_CREDITS),Auto scale (AUTO_SCALE),Scaling policy (SCALING_POLICY),,,"When you create a multi-cluster warehouse, you need to specify a scaling policy to help you control the credits consumed by the multi-cluster warehouse. There are two types of policies; the ""Standard policy"" prioritizes starting additional warehouses over conserving credits. The ""Economy policy"" is a more restrictive policy that prioritizes conserving credits over conserving starting additional warehouses. You can set the scaling policy by executing the CREATE WAREHOUSE or ALTER WAREHOUSE command specifying the SCALING_POLICY. For example:\n
ALTER WAREHOUSE mywh SET SCALING_POLICY = 'ECONOMY';",https://docs.snowflake.com/en/user-guide/warehouses-multicluster#setting-the-scaling-policy-for-a-multi-cluster-warehouse,,Performance Concepts
423,Snowflake best practice recommends that which role be used to enforce a network policy on a Snowflake account?,D,ACCOUNTADMIN,USERADMIN,SYSADMIN,SECURITYADMIN,,,,https://docs.snowflake.com/en/sql-reference/sql/create-network-policy,,Data Transformations
424,Which roles can create shares and resource monitors?,D,SECURITYADMIN,SYSADMIN,USERADMIN,ACCOUNTADMIN,,,"ACCOUNTADMIN is the only role that is able to create Shares and Resource Monitors by default. However, account administrators can choose to enable users with other roles to view and modify resource monitors using SQL.",https://docs.snowflake.com/en/user-guide/resource-monitors,,Performance Concepts
425,What is the only supported character set for loading and unloading data from all supported file formats?,D,UTF-16,WINDOWS-1253,ISO-8859-1,UTF-8,,,,https://docs.snowflake.com/en/sql-reference/sql/create-file-format,,Data Transformations
426,Which system functions are available in Snowflake to view/monitor the clustering metadata for a table? (Choose two.),"B,D",SYSTEM$CLUSTERING_STATUS,SYSTEM$CLUSTERING_DEPTH,SYSTEM$CLUSTERING_METADATA,SYSTEM$CLUSTERING_INFORMATION,SYSTEM$CLUSTERING,,"The clustering depth measures the average depth of the overlapping micro-partitions for specified columns in a table (1 or greater). The smaller the cluster depth is, the better clustered the table is. You can use any previous commands to get the Cluster Depth of a table.",https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions#monitoring-clustering-information-for-tables,,Performance Concepts
427,How a Snowpipe charges calculated?,D,Number of Pipes in account,Total storage bucket size,Per-second/per Warehouse size,Per-second/per-core granularity,,,,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-billing,,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture"
428,Which are the metadata columns for staged files? (Choose two.),"C,D",METADATA$FILEFORMAT,METADATA$FILE_SIZE,METADATA$FILENAME,METADATA$FILE_ROW_NUMBER,METADATA$FILE_ROW_ID,,"The METADATA$FILENAME column is the name of the staged data file that the current row belongs to. The METADATA$FILE_ROW_NUMBER is the row number for each record in the container staged data file. This is a way of query the stage metadata:\n


SELECT metadata$filename, metadata$file_row_number from @MY_STAGE",https://docs.snowflake.com/en/user-guide/querying-metadata,,Performance Concepts
429,Which data formats are supported by Snowflake when unloading semi-structured data? (Choose two.),"B,D",Binary file in Avro,Newline Delimited JSON,Comma-separated JSON,Binary file in Parquet,Plain text file containing XML elements,,"Binary file in Parquet, Newline Delimited JSON (ndjson)",https://docs.snowflake.com/en/user-guide/data-unload-prepare#supported-file-formats,,Data Loading and Unloading
430,Which are the additional columns that the streams create? (Choose three.),"B,D,E",METADATA$COLUMN_ID,METADATA$ISUPDATE,METADATA$IS_DELETED,METADATA$ACTION,METADATA$ROW_ID,METADATA$ISREAD,"METADATA$ACTION Indicates the DML operation (INSERT, DELETE) recorded.\n

METADATA$ISUPDATE indicates whether the operation was part of an UPDATE statement.\n

METADATA$ROW_ID is a unique and immutable ID for the row.",https://docs.snowflake.com/en/user-guide/streams-intro#stream-columns,,Data Loading and Unloading
431,A user is loading JSON documents composed of a huge array containing multiple records into Snowflake. The user enables the STRIP_OUTER_ARRAY file format option. What does the STRIP_OUTER_ARRAY file format do?,D,It removes the trailing spaces in the last element of the outer array and loads the records into separate table columns.,It removes the NULL elements from the JSON object eliminating invalid data and enables the ability to load the records.,It removes the last element of the outer array.,It removes the outer array structure and loads the records into separate table rows.,,,"STRIP_OUTER_ARRAY, Removes the outer set of square brackets [ ] when loading the data, separating the initial array into multiple lines",https://docs.snowflake.com/en/user-guide/semistructured-considerations#data-size-limitations,,Data Loading and Unloading
432,In which different ways can we query historical data? (Choose three.),"C,D,E",By backup.,By user.,By query statement ID.,By offset.,By timestamp.,By session.,"Querying over historical data is one of the main functionalities of Snowflake Time Travel, apart from restoring deleted objects. With Snowflake, you don't need to duplicate or back up data from key points in the past. Here you have an example of querying the historical data by query statement ID:\n

SELECT *\n
FROM my_table\n
BEFORE(STATEMENT => '<query_ID>');",https://docs.snowflake.com/en/user-guide/data-time-travel#time-travel-sql-extensions,,"Data Transformations, Snowflake AI Data Cloud Features and Architecture, Data Protection and Data Sharing"
433,What is a characteristic of data micro-partitioning in Snowflake?,D,Micro-partitioning requires the definition of a partitioning schema,Micro-partitioning may introduce data skew,Micro-partitioning can be disabled within a Snowflake account,Micro-partitioning happens when the data is loaded,,,Micro-partitioning is automatically performed on all Snowflake tables. Tables are transparently partitioned using the ordering of the data as it is inserted/loaded.,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions#what-are-micro-partitions,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
434,"What is common between Fivetran, Informatica, Stitch, and Talend?",D,They are Snowflake Security partners.,They are Snowflake programming interfaces partners.,They are Snowflake Business Intelligence partners.,They are Snowflake Data Integration partners.,,,"There are two types of partners, technology partners, and solution partners. The technology partners are the ones that integrate their solutions with Snowflake, and they can be divided into Data Integration, ML & Data Science, Security & Governance, Business Intelligence, SQL Editors, and Programming Interfaces. In this case, they all belong to the Data Integration Partners. You can see the Snowflake ecosystem in the following image:",https://docs.snowflake.com/en/user-guide/ecosystem-etl,,"Snowflake AI Data Cloud Features and Architecture, Data Transformations"
435,Which of the following accurately represents how a table fits into Snowflake's logical container hierarchy?,D,Database -> Schema -> Table -> Account,Database -> Table -> Schema -> Account,Account -> Schema -> Database -> Table,Account -> Database -> Schema -> Table,,,,https://docs.snowflake.com/en/sql-reference/ddl-database,,Data Transformations
436,A running virtual warehouse is suspended. What is the MINIMUM amount of time that the warehouse will incur charges for when it is restarted?,D,1 second,60 minutes,5 minutes,60 seconds,,,The minimum billing charge for provisioning compute resources is 1 minute (i.e. 60 seconds).,https://docs.snowflake.com/en/user-guide/warehouses-considerations#how-are-credits-charged-for-warehouses,,Performance Concepts
437,Which types of subqueries does Snowflake support? (Choose two.),"C,D","EXISTS, ANY / ALL, and IN subqueries in WHERE clauses: these subqueries can be uncorrelated only","EXISTS, ANY / ALL, and IN subqueries in WHERE clauses: these subqueries can be correlated only","EXISTS, ANY / ALL, and IN subqueries in WHERE clauses: these subqueries can be correlated or uncorrelated",Uncorrelated scalar subqueries in any place that a value expression can be used,Uncorrelated scalar subqueries in WHERE clauses,,"Snowflake currently supports the following types of subqueries:\n
Uncorrelated scalar subqueries in any place that a value expression can be used.\n
Correlated scalar subqueries in WHERE clauses.\n
EXISTS, ANY / ALL, and IN subqueries in WHERE clauses. These subqueries can be correlated or uncorrelated.",https://docs.snowflake.com/en/user-guide/querying-subqueries,,Performance Concepts
438,How can a Snowflake user traverse semi-structured data?,D,Insert a double colon (::) between the VARIANT column name and any second-level element.,Insert a double colon (::) between the VARIANT column name and any first-level element.,Insert a colon (:) between the VARIANT column name and any second-level element.,Insert a colon (:) between the VARIANT column name and any first-level element.,,,It is important to be familiar with the syntax for querying semi-structured data.,https://community.snowflake.com/s/article/querying-semi-structured-data,,Data Transformations
439,Users with the ACCOUNTADMIN role can execute which of the following commands on existing users?,C,"Can SHOW users, INDEX a given user, or ALTER or DELETE a user","Can DEFINE users, DESCRIBE a given user, or ALTER or DELETE a user","Can SHOW users DESCRIBE a given user, or ALTER or DROP a user","Can SHOW users, DEFINE a given user or ALTER, DROP, or MODIFY a user",,,"Only these operations are allowed CREATE USER , ALTER USER , DROP USER , DESCRIBE USER",https://docs.snowflake.com/en/sql-reference/sql/show-users,,Data Transformations
440,The property MINS_TO_BYPASS_NETWORK_POLICY is set at which level?,C,Organization,Role,User,Account,,,"The user object property MINS_TO_BYPASS_NETWORK_POLICY defines the number of minutes in which a user can access Snowflake without conforming to an existing network policy.\n
MINS_TO_BYPASS_NETWORK_POLICY allows the user to temporarily bypass a network policy for a set number of minutes.",https://docs.snowflake.com/en/sql-reference/sql/desc-user,,Data Transformations
441,What is generally the FASTEST way to bulk load data files from a stage?,B,Using the Snowpipe REST API,Specifying a list of specific files to load,Using pattern matching to identify specific files by pattern,Loading by path (internal stages) / prefix,,,"Of the three bulk load options for identifying/specifying data files to load from a stage, providing a discrete list of files is generally the fastest; however, the FILES parameter supports a maximum of 1,000 files, meaning a COPY command executed with the FILES parameter can only load up to 1,000 files.",https://docs.snowflake.com/en/user-guide/data-load-considerations-load,,Data Loading and Unloading
442,What statement is true about Snowflake’s unique architecture?,A,Multi-Cluster Shared Data.,One Node Private Data.,One Node Shared Data.,Multi-Cluster Private Data.,,,"Snowflake's architecture is a hybrid of traditional shared-disk and shared-nothing database architectures. Snowflake uses a central data repository for persisted data accessible from all compute nodes in the platform. At the same time, it processes queries using virtual warehouses where each node in the cluster stores a portion of the entire data set locally.",https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture,,Snowflake AI Data Cloud Features and Architecture
443,What is the default behavior of internal stages in Snowflake?,B,Named internal stages are created by default.,Each user and table are automatically allocated an internal stage.,Users must manually create their own internal stages.,Data files are automatically staged to a default location.,,,,https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage,,Data Loading and Unloading
444,"According to Snowflake best practice recommendations, which system-defined roles should be used to create custom roles? (Choose two.)","C,E",SYSADMIN,ORGADMIN,USERADMIN,ACCOUNTADMIN,SECURITYADMIN,,Custom account roles can be created using the USERADMIN role (or a higher role),https://docs.snowflake.com/en/user-guide/security-access-control-overview#system-defined-roles,,Account Access and Security
445,What is used during the FIRST execution of SELECT COUNT(*) FROM ORDER?,A,Metadata-based result,Cache result,Remote disk cache,Virtual warehouse cache,,,"Some queries include steps that are pure metadata/catalog operations rather than data-processing operations. These steps consist of a single operator. Some examples include:\n
-Metadata-based Result\n
-A query whose result is computed based purely on metadata, without accessing any data. These queries are not processed by a virtual warehouse. For example:\n
SELECT COUNT(*) FROM …\n
SELECT CURRENT_DATABASE()",https://docs.snowflake.com/en/user-guide/ui-query-profile#metadata-operators,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
446,What entity is responsible for hosting and sharing data in Snowflake?,A,Data provider,Reader account,Managed account,Data consumer,,,A data provider is any Snowflake account that creates shares and makes them available to other Snowflake accounts to consume.,https://docs.snowflake.com/en/user-guide/data-sharing-intro#about-providers,,Data Protection and Data Sharing
447,Which function is used to convert rows in a relational table to a single VARIANT column?,C,ARRAY_AGG,ARRAY_CONSTRUCT,OBJECT_CONSTRUCT,OBJECT_AGG,,,You can use the OBJECT_CONSTRUCT function combined with the COPY command to convert the rows in a relational table to a single VARIANT column and unload the rows into a file.,https://docs.snowflake.com/en/user-guide/data-unload-considerations,,Data Loading and Unloading
448,Why would a Snowflake user decide to use a materialized view instead of a regular view?,B,The query results are not used frequently.,The base tables do not change frequently.,The query is not resource intensive.,The results of the view change often.,,,,https://docs.snowflake.com/en/user-guide/views-materialized,,Performance Concepts
449,"As a best practice, clustering keys should only be defined on tables of which minimum size?",B,Multi-Gigabyte (GB) Range,Multi-Terabyte (TB) Range,Multi-Kilobyte (KB) Range,Multi-Megabyte (MB) Range,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
450,"Which VALIDATION_MODE value will return the errors across the files specified in a COPY command, including files that were partially loaded during an earlier load?",C,RETURN_ERRORS,RETURN_-1_ROWS,RETURN_ALL_ERRORS,RETURN_n_ROWS,,,"RETURN_ALL_ERRORS: Returns all errors across all files specified in the COPY statement, including files with errors that were partially loaded during an earlier load because the ON_ERROR copy option was set to CONTINUE during the load.",https://docs.snowflake.com/en/sql-reference/sql/copy-into-table,,Data Transformations
451,Which governance feature is supported by all Snowflake editions?,B,Masking policies,OBJECT_DEPENDENCIES view,Row access policies,Object tags,,,"Object tags, Masking Policies and Row Access Policies are for Enterprise and above editions. The only option remaining is Object Dependencies",https://docs.snowflake.com/en/user-guide/intro-editions,,Snowflake AI Data Cloud Features and Architecture
452,"In Snowflake, the use of federated authentication enables which Single Sign-On (SSO) workflow activities? (Choose two.)","A,E",Logging into Snowflake,Initiating user sessions,Authorizing users,Performing role authentication,Logging out of Snowflake,,"Federated authentication enables the following SSO workflows:\n
-Logging into Snowflake.\n
-Logging out of Snowflake.\n
-System timeout due to inactivity.",https://docs.snowflake.com/en/user-guide/admin-security-fed-auth-overview,,Account Access and Security
453,Which privileges are required for a user to restore an object? (Choose two.),B,UNDROP,CREATE,UPDATE,MODIFY,OWNERSHIP,,,https://docs.snowflake.com/en/user-guide/security-access-control-privileges,,Account Access and Security
454,Which privilege is required to use the search optimization service in Snowflake?,C,GRANT SEARCH OPTIMIZATION ON DATABASE TO ROLE,GRANT SEARCH OPTIMIZATION ON SCHEMA TO ROLE,GRANT ADD SEARCH OPTIMIZATION ON SCHEMA TO ROLE,GRANT ADD SEARCH OPTIMIZATION ON DATABASE TO ROLE,,,"To add, configure, or remove search optimization for a table, you must have the following privileges:\n
-You must have OWNERSHIP privilege on the table.\n
-You must have ADD SEARCH OPTIMIZATION privilege on the schema that contains the table.\n

GRANT ADD SEARCH OPTIMIZATION ON SCHEMA <schema_name> TO ROLE <role>",https://docs.snowflake.com/en/user-guide/search-optimization-service#what-access-control-privileges-are-needed-for-the-search-optimization-service,,"Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
455,What is one of the characteristics of data shares?,C,Data shares work by copying data to consumer accounts.,Data shares support full DML operations.,Data shares utilize secure views for sharing view objects.,Data shares are cloud agnostic and can cross regions by default.,,,"For data security and privacy reasons, only secure views are supported in shares at this time. If a standard view is added to a share, Snowflake returns an error.\n
Shared databases are read-only.\n
With Secure Data Sharing, no actual data is copied or transferred between accounts. All sharing uses Snowflake’s services layer and metadata store.\n
Database replication will be needed to allow data providers to securely share data with data consumers across different regions and cloud platforms.",https://docs.snowflake.com/en/user-guide/data-sharing-provider#general-data-sharing-considerations-and-usage,,Data Protection and Data Sharing
